mc_trial,method,precision,recall,f1,accuracy,tp,tn,fp,fn
57,depth.RPp,0.3670886075949367,0.6444444444444445,0.46774193548387094,0.78,29,205,50,16
57,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
58,depth.FMp,0.6206896551724138,0.4,0.4864864864864865,0.8733333333333333,18,244,11,27
58,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
58,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
58,depth.RPp,0.2708333333333333,0.8666666666666667,0.41269841269841273,0.63,39,150,105,6
58,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
59,depth.FMp,0.5306122448979592,0.5777777777777777,0.5531914893617021,0.86,26,232,23,19
59,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
59,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
59,depth.RPp,0.25609756097560976,0.4666666666666667,0.33070866141732286,0.7166666666666667,21,194,61,24
59,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
60,depth.FMp,0.5675675675675675,0.4666666666666667,0.5121951219512195,0.8666666666666667,21,239,16,24
60,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
60,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
60,depth.RPp,0.2631578947368421,0.6666666666666666,0.3773584905660377,0.67,30,171,84,15
60,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
61,depth.FMp,0.6666666666666666,0.5333333333333333,0.5925925925925926,0.89,24,243,12,21
61,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
61,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
61,depth.RPp,0.425531914893617,0.4444444444444444,0.4347826086956522,0.8266666666666667,20,228,27,25
61,WICMAD,0.5421686746987951,1.0,0.7031249999999999,0.8733333333333333,45,217,38,0
62,depth.FMp,0.6666666666666666,0.4,0.5,0.88,18,246,9,27
62,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
62,fdaoutlier.msplot,0.15,1.0,0.2608695652173913,0.15,45,0,255,0
62,depth.RPp,0.2761904761904762,0.6444444444444445,0.38666666666666666,0.6933333333333334,29,179,76,16
62,WICMAD,1.0,1.0,1.0,1.0,45,255,0,0
63,depth.FMp,0.8888888888888888,0.35555555555555557,0.5079365079365079,0.8966666666666666,16,253,2,29
63,mrfDepth.fOutl,1.0,1.0,1.0,1.0,45,255,0,0
